"Frequency","I_filtro"
0,-0.0014192846368010078
50.00000000000162,2.8255436370928342
100.00000000000324,0.0080333041558007783
150.00000000000486,0.14756979618395277
200.00000000000648,0.0019599148743435087
250.0000000000081,0.0075671559034383561
300.00000000000972,0.0010011719185109844
350.00000000001137,0.00090218681316345576
400.00000000001296,0.00071695350290907755
450.00000000001455,0.00059959333459337085
500.0000000000162,0.00056228111263970277
550.00000000001785,0.00051680151873546203
600.00000000001944,0.00046371784293356235
650.00000000002103,0.00041978289646256325
700.00000000002274,0.0003950421002353425
750.00000000002433,0.00037212416691789345
800.00000000002592,0.00034429611468790117
850.00000000002751,0.00032096200579116707
900.0000000000291,0.00030522503614224133
950.00000000003081,0.00029080665488016654
1000.0000000000324,0.00027417562581144632
1050.0000000000341,0.00025954325826496789
1100.0000000000357,0.00024890308634396981
1150.0000000000373,0.00023909777254781765
1200.0000000000389,0.0002279152264120291
1250.0000000000405,0.00021764159941312848
1300.0000000000421,0.00021021103258915427
1350.0000000000437,0.00020296954542176529
1400.0000000000455,0.00019506511729392074
1450.0000000000471,0.00018764680920310329
1500.0000000000487,0.00018196591712826122
1550.0000000000502,0.00017664260002116079
1600.0000000000518,0.00017051697256753639
1650.0000000000534,0.00016484840538607431
1700.000000000055,0.00016043050590145181
1750.0000000000566,0.00015622165199463843
1800.0000000000582,0.00015147066550154581
1850.00000000006,0.00014700036964835475
1900.0000000000616,0.00014346434888852833
1950.0000000000632,0.00014011314366030138
2000.0000000000648,0.00013625994261449466
2050.0000000000664,0.00013256738490424728
2100.0000000000682,0.00012974873065004907
2150.0000000000696,0.00012695068633758797
2200.0000000000714,0.00012383016702451893
2250.0000000000728,0.00012081074936959106
2300.0000000000746,0.00011843111324408352
2350.0000000000759,0.00011614927881320634
2400.0000000000778,0.00011348018616248384
2450.0000000000796,0.00011102152356856968
2500.0000000000809,0.00010892990961957409
2550.0000000000828,0.00010693383000827829
2600.0000000000841,0.00010472900937645604
2650.0000000000859,0.00010262934140424207
2700.0000000000873,0.00010084265205207808
2750.0000000000891,9.9048867791422506e-05
2800.0000000000909,9.7233669397252888e-05
2850.0000000000923,9.5476611226425232e-05
2900.0000000000941,9.3875043002137338e-05
2950.0000000000955,9.2335530935125064e-05
3000.0000000000973,9.0739965188842112e-05
3050.0000000000987,8.9205879762500193e-05
3100.0000000001005,8.7807850509823208e-05
3150.0000000001019,8.6453295272082386e-05
3200.0000000001037,8.5059073993031374e-05
3250.0000000001055,8.372192172406664e-05
3300.0000000001069,8.2477917612982292e-05
3350.0000000001087,8.1277118031565195e-05
3400.00000000011,8.004860695254541e-05
3450.0000000001119,7.8842066955930805e-05
3500.0000000001132,7.7759264787759995e-05
3550.0000000001151,7.6678786637929139e-05
3600.0000000001164,7.5596437380905663e-05
3650.0000000001182,7.4530184105471245e-05
3700.0000000001201,7.3551054967134537e-05
3750.0000000001214,7.2598442322140488e-05
3800.0000000001232,7.1612874484786347e-05
3850.0000000001246,7.0662827412952073e-05
3900.0000000001264,6.9774516805250572e-05
3950.0000000001278,6.8920085541484118e-05
4000.0000000001296,6.8027950957302125e-05
4050.0000000001314,6.7173146445670263e-05
4100.0000000001328,6.6367323085300236e-05
4150.0000000001346,6.5587519624701795e-05
4200.0000000001364,6.4785580553596594e-05
4250.0000000001373,6.4000058785509525e-05
4300.0000000001392,6.3278031341181183e-05
4350.000000000141,6.2562139819538761e-05
4400.0000000001428,6.1838622988101482e-05
4450.0000000001446,6.1127145108705406e-05
4500.0000000001455,6.0463510963883801e-05
4550.0000000001473,5.9816414907150193e-05
4600.0000000001492,5.9147714614740851e-05
4650.000000000151,5.8502896620841053e-05
4700.0000000001519,5.7888392954682186e-05
4750.0000000001537,5.7296438168573271e-05
4800.0000000001555,5.6681268238255645e-05
4850.0000000001573,5.6087744988321921e-05
4900.0000000001592,5.5523974760230164e-05
4950.0000000001601,5.497152519052254e-05
5000.0000000001619,5.4412819048420747e-05
5050.0000000001637,5.3858383229135734e-05
5100.0000000001655,5.3345607374789316e-05
5150.0000000001664,5.2830818787086621e-05
5200.0000000001683,5.231917773789598e-05
5250.0000000001701,5.1809418275299919e-05
5300.0000000001719,5.133159320653391e-05
5350.0000000001737,5.0859849176244467e-05
5400.0000000001746,5.0380244272594979e-05
5450.0000000001764,4.9913517375662238e-05
5500.0000000001783,4.9463739383955162e-05
5550.0000000001801,4.902728432812836e-05
5600.0000000001819,4.8579825925671961e-05
5650.0000000001828,4.814458942860791e-05
5700.0000000001846,4.7727243439866178e-05
5750.0000000001864,4.7314978355132526e-05
5800.0000000001883,4.6903912430766801e-05
5850.0000000001892,4.6493755725994814e-05
5900.000000000191,4.6108753088785817e-05
5950.0000000001928,4.572198043649568e-05
6000.0000000001946,4.5339937660650554e-05
6050.0000000001965,4.4960309471213714e-05
6100.0000000001974,4.4596352168919329e-05
6150.0000000001992,4.4239574265628209e-05
6200.000000000201,4.3876543870017176e-05
6250.0000000002028,4.3526585077529159e-05
6300.0000000002037,4.3179694179392342e-05
6350.0000000002055,4.2846526998078243e-05
6400.0000000002074,4.2504614573332002e-05
6450.0000000002092,4.2174206997125346e-05
6500.000000000211,4.1850499331207202e-05
6550.0000000002119,4.1531883180798113e-05
6600.0000000002137,4.121616497526013e-05
6650.0000000002156,4.0901500663927092e-05
6700.0000000002174,4.0600899590963669e-05
6750.0000000002183,4.029944773929259e-05
6800.0000000002201,4.0003651456166785e-05
6850.0000000002219,3.9710093387513425e-05
6900.0000000002237,3.9423733334077184e-05
6950.0000000002256,3.9143398964454926e-05
7000.0000000002265,3.8860302040659564e-05
7050.0000000002283,3.8587004056840186e-05
7100.0000000002301,3.8312763146468309e-05
7150.0000000002319,3.8047901666553159e-05
7200.0000000002328,3.7780431248110167e-05
7250.0000000002346,3.7519162543491502e-05
7300.0000000002365,3.7262792123130296e-05
7350.0000000002383,3.700689433717996e-05
7400.0000000002401,3.6759170585938223e-05
7450.000000000241,3.6508426842419141e-05
7500.0000000002428,3.6268989880488842e-05
7550.0000000002447,3.6025862106066305e-05
7600.0000000002465,3.5791707576618869e-05
7650.0000000002483,3.5557111481629374e-05
7700.0000000002492,3.532679364084426e-05
7750.000000000251,3.5100192889255152e-05
7800.0000000002528,3.4873747939361903e-05
7850.0000000002547,3.465451008942452e-05
7900.0000000002556,3.4432132609558065e-05
7950.0000000002574,3.4216855544845057e-05
8000.0000000002592,3.4001607599029299e-05
8050.000000000261,3.3790491522066727e-05
8100.0000000002628,3.3581707011595505e-05
8150.0000000002638,3.3372654725696359e-05
8200.0000000002656,3.3172087029575875e-05
8250.0000000002674,3.2968912003970668e-05
8300.0000000002692,3.2772319378090493e-05
8350.000000000271,3.2573721381000963e-05
8400.0000000002728,3.2382118645631483e-05
8450.0000000002747,3.2192035695130702e-05
8500.0000000002747,3.2001022647290565e-05
8550.0000000002765,3.1815678944284033e-05
8600.0000000002783,3.1628808680241873e-05
8650.0000000002801,3.1450229694670387e-05
8700.0000000002819,3.1265105945116022e-05
8750.0000000002838,3.1087530723047387e-05
8800.0000000002856,3.0909729280115902e-05
8850.0000000002874,3.07359514185785e-05
8900.0000000002892,3.0562282919713844e-05
8950.0000000002892,3.0388435527779603e-05
9000.000000000291,3.0222650030471608e-05
9050.0000000002929,3.0054390254438866e-05
9100.0000000002947,2.9890466745071049e-05
9150.0000000002965,2.9724796213651094e-05
9200.0000000002983,2.9565561513713916e-05
9250.0000000003001,2.9407679023713316e-05
9300.000000000302,2.9247599574134946e-05
9350.0000000003038,2.9092314522072139e-05
9400.0000000003038,2.8936467734249351e-05
9450.0000000003056,2.8786948224151432e-05
9500.0000000003074,2.8631804314146445e-05
9550.0000000003092,2.8481625383039974e-05
9600.000000000311,2.8333560714298093e-05
9650.0000000003129,2.8186645027851919e-05
9700.0000000003147,2.8041393520669485e-05
9750.0000000003165,2.789349652894458e-05
9800.0000000003183,2.7755260932886901e-05
9850.0000000003183,2.7612712777714227e-05
9900.0000000003201,2.7474855032322334e-05
9950.000000000322,2.7334218237023965e-05
10000.000000000324,2.7200127682896883e-05
10050.000000000326,2.7066705967929363e-05
